Item,Manufacturer,Model,Source,URL,Location,Sterilization
,,,,,,
Screwdriver,,"Phillips head, #4",,,CAF OR #3,
Ceramic screws,Rogue Research,"M3, Philips head",Rogue Research,,B1-C60,
,,,,,,
Ground pins,NIMH SI,"Hex head M3, PEEK + gold",,,B1-A19,
Ground pin driver,NIMH SI,Customized M3 hex driver,,,CAF OR #3,Autoclave
Hemostatic gel,Vista Apex,`Quick-Stat FS <https://www.henryschein.com/us-en/dental/p/crown-bridge/retraction-materials/quick-stat-fs-standard-kit/1071130>`_,,,CAF OR #3,None
Dental varnish,Cooley & Cooley,Copalite,,,CAF OR #3,None
Denal Adhesive,Bisco,`All-Bond Universal <https://www.bisco.com/all-bond-universal-/>`_,,,CAF OR #3,
Dental cement,Lang Dental,Orthojet,,,,
Chamber cap screws,McMaster-Carr,"M3, Philips head",,,B1-A19,ETO
High vacuum grease,Dow Corning,`976V <>`_,,,CAF OR #3,